country,world_region
New Zealand,North America and Oceania
Nicaragua,Latin America
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Niue,North America and Oceania
North Macedonia,Europe
Northern Mariana Islands,North America and Oceania
Norway,Europe
Oman,"North Africa, West and Central Asia"
Pakistan,South and Southeat Asia
Palau,North America and Oceania
Palestine,"North Africa, West and Central Asia"
Panama,Latin America
Papua New Guinea,North America and Oceania
Paraguay,Latin America
Peru,Latin America
Philippines,South and Southeat Asia
Poland,Europe
Portugal,Europe
Puerto Rico,Latin America
Qatar,"North Africa, West and Central Asia"
Republic of Korea,Industrialized Asia
Republic of Moldova,Europe
Romania,Europe
Russian Federation,Europe
Rwanda,Sub-Saharan Africa
RÈunion,Sub-Saharan Africa
Saint Kitts and Nevis,North America and Oceania
Saint Lucia,North America and Oceania
Saint Vincent and the Grenadines,North America and Oceania
Samoa,North America and Oceania
San Marino,Europe
Sao Tome and Principe,Sub-Saharan Africa
Saudi Arabia,"North Africa, West and Central Asia"
Senegal,Sub-Saharan Africa
Serbia,Europe
Serbia and Montenegro,Europe
Seychelles,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
Singapore,Industrialized Asia
Slovakia,Europe
Slovenia,Europe
Solomon Islands,North America and Oceania
Somalia,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
South Sudan,Sub-Saharan Africa
Spain,Europe
Sri Lanka,South and Southeat Asia
Sudan,Sub-Saharan Africa
Sudan (former),Sub-Saharan Africa
Suriname,Latin America
Sweden,Europe
Switzerland,Europe
Syrian Arab Republic,"North Africa, West and Central Asia"
Tajikistan,"North Africa, West and Central Asia"
Thailand,South and Southeat Asia
Timor-Leste,South and Southeat Asia
Togo,Sub-Saharan Africa
Tonga,North America and Oceania
Trinidad and Tobago,North America and Oceania
Tunisia,"North Africa, West and Central Asia"
Turkey,"North Africa, West and Central Asia"
Turkmenistan,"North Africa, West and Central Asia"
Tuvalu,North America and Oceania
Uganda,Sub-Saharan Africa
Ukraine,Europe
United Arab Emirates,"North Africa, West and Central Asia"
United Kingdom of Great Britain and Northern Ireland,Europe
United Republic of Tanzania,Sub-Saharan Africa
United States of America,North America and Oceania
United States Virgin Islands,North America and Oceania
Uruguay,Latin America
USSR,Europe
Uzbekistan,"North Africa, West and Central Asia"
Vanuatu,North America and Oceania
Venezuela (Bolivarian Republic of),Latin America
Viet Nam,South and Southeat Asia
Yemen,"North Africa, West and Central Asia"
Yugoslav SFR,Europe
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
